text,language_ID,language_name,abbr,language_type,macro_region,natives,non_natives,SI,GI,total_no_tokens,corpus
GB_s1a-006_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,297,1343,2146,ICE
GB_s1a-007_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,305,1319,2101,ICE
GB_s1a-008_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,388,1461,2280,ICE
GB_s1a-009_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,313,1087,2017,ICE
GB_s1a-010_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,284,1295,2111,ICE
GB_s1a-011_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,293,1191,1984,ICE
GB_s1a-012_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,309,1166,1849,ICE
GB_s1a-013_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,350,1382,2229,ICE
GB_s1a-014_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,345,1305,2067,ICE
GB_s1a-015_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,274,1251,2045,ICE
GB_s1a-016_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,250,1246,2108,ICE
GB_s1a-017_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,278,1130,1854,ICE
GB_s1a-018_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,310,1231,2041,ICE
GB_s1a-019_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,341,1383,2327,ICE
GB_s1a-020_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,300,1198,2012,ICE
GB_s1a-021_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,273,1119,1890,ICE
GB_s1a-022_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,304,1155,1900,ICE
GB_s1a-023_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,323,1290,2219,ICE
GB_s1a-024_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,258,1272,2191,ICE
GB_s1a-025_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,351,1263,2183,ICE
GB_s1a-026_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,270,1162,2000,ICE
GB_s1a-027_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,254,1097,1832,ICE
GB_s1a-028_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,365,1358,2183,ICE
GB_s1a-029_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,303,1309,2212,ICE
GB_s1a-030_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,296,1212,1933,ICE
GB_s1a-031_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,266,1262,2063,ICE
GB_s1a-032_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,288,1054,1704,ICE
GB_s1a-033_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,278,1217,2020,ICE
GB_s1a-034_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,311,1231,2079,ICE
GB_s1a-035_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,245,1195,2047,ICE
GB_s1a-036_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,335,1284,2097,ICE
GB_s1a-037_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,327,1358,2268,ICE
GB_s1a-038_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,297,1186,1945,ICE
GB_s1a-039_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,341,1247,2094,ICE
GB_s1a-040_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,418,1535,2447,ICE
GB_s1a-041_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,344,1323,2258,ICE
GB_s1a-042_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,301,1197,2021,ICE
GB_s1a-043_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,221,1078,1797,ICE
GB_s1a-044_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,295,1078,1806,ICE
GB_s1a-045_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,318,1347,2114,ICE
GB_s1a-046_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,284,1159,1910,ICE
GB_s1a-047_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,322,1400,2146,ICE
GB_s1a-048_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,240,1130,1969,ICE
GB_s1a-049_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,373,1270,2025,ICE
GB_s1a-050_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,348,1496,2277,ICE
GB_s1a-051_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,298,1195,1995,ICE
