text,area,total_no_tokens,SI,GI
GB_s1a-097_R1000.txt,GB,2171,298,1230
GB_s1a-098_R1000.txt,GB,1813,229,983
GB_s1a-099_R1000.txt,GB,2210,284,1247
GB_s1a-100_R1000.txt,GB,1982,267,1159
GH_s1a-001_R1000.txt,GH,1794,270,1039
GH_s1a-002_R1000.txt,GH,1818,315,1132
GH_s1a-003_R1000.txt,GH,1997,309,1368
GH_s1a-004_R1000.txt,GH,1977,240,1089
GH_s1a-005_R1000.txt,GH,2253,307,1330
GH_s1a-006_R1000.txt,GH,2163,269,1478
GH_s1a-007_R1000.txt,GH,1892,232,1057
GH_s1a-008_R1000.txt,GH,1800,267,1064
GH_s1a-009_R1000.txt,GH,2137,300,1381
GH_s1a-010_R1000.txt,GH,1771,222,1029
GH_s1a-011_R1000.txt,GH,2192,280,1365
GH_s1a-012_R1000.txt,GH,1927,280,1195
GH_s1a-013_R1000.txt,GH,2054,265,1320
GH_s1a-014_R1000.txt,GH,1979,328,1263
GH_s1a-015_R1000.txt,GH,2220,236,1184
GH_s1a-016_R1000.txt,GH,1954,312,1310
GH_s1a-017_R1000.txt,GH,1981,334,1199
GH_s1a-018_R1000.txt,GH,2142,282,1359
GH_s1a-019_R1000.txt,GH,2218,304,1352
GH_s1a-020_R1000.txt,GH,1897,287,1222
GH_s1a-021_R1000.txt,GH,1941,247,1178
GH_s1a-022_R1000.txt,GH,1737,217,945
GH_s1a-023_R1000.txt,GH,2031,280,1252
GH_s1a-024_R1000.txt,GH,1891,282,1057
GH_s1a-025_R1000.txt,GH,1925,281,1226
GH_s1a-026_R1000.txt,GH,1948,278,1213
GH_s1a-027_R1000.txt,GH,1873,275,1115
GH_s1a-028_R1000.txt,GH,1845,244,1144
GH_s1a-029_R1000.txt,GH,2220,289,1270
GH_s1a-029_backup_R1000.txt,GH,2071,331,1323
GH_s1a-030_R1000.txt,GH,1979,292,1157
GH_s1a-031_R1000.txt,GH,1965,338,1260
GH_s1a-032_R1000.txt,GH,2165,239,1202
GH_s1a-033_R1000.txt,GH,2152,346,1308
GH_s1a-034_R1000.txt,GH,2149,307,1282
GH_s1a-035_R1000.txt,GH,2034,259,1211
GH_s1a-036_R1000.txt,GH,2150,335,1332
GH_s1a-037_R1000.txt,GH,2092,309,1286
GH_s1a-038_R1000.txt,GH,1880,222,1116
GH_s1a-039_R1000.txt,GH,2264,377,1429
GH_s1a-040_R1000.txt,GH,2337,421,1562
GH_s1a-041_R1000.txt,GH,2218,291,1375
GH_s1a-042_R1000.txt,GH,1988,270,1049
GH_s1a-043_R1000.txt,GH,2149,343,1317
GH_s1a-044_R1000.txt,GH,1927,332,1190
GH_s1a-045_R1000.txt,GH,2049,307,1328
GH_s1a-046_R1000.txt,GH,2199,357,1295
GH_s1a-047_R1000.txt,GH,2305,371,1474
GH_s1a-048_R1000.txt,GH,2322,339,1388
GH_s1a-049_R1000.txt,GH,2257,356,1407
GH_s1a-050_R1000.txt,GH,2027,293,1222
GH_s1a-051_R1000.txt,GH,2196,371,1430
GH_s1a-052_R1000.txt,GH,2032,364,1387
GH_s1a-053_R1000.txt,GH,1750,254,1056
GH_s1a-054_R1000.txt,GH,1886,310,1215
GH_s1a-055_R1000.txt,GH,2037,338,1304
GH_s1a-056_R1000.txt,GH,2059,284,1279
GH_s1a-057_R1000.txt,GH,1640,265,1048
GH_s1a-058_R1000.txt,GH,1940,325,1283
GH_s1a-059_R1000.txt,GH,2129,258,1360
GH_s1a-060_R1000.txt,GH,1701,207,899
GH_s1a-061_R1000.txt,GH,1895,243,1061
GH_s1a-062_R1000.txt,GH,1983,220,1201
GH_s1a-063_R1000.txt,GH,1941,243,1136
GH_s1a-064_R1000.txt,GH,2113,310,1301
GH_s1a-065_R1000.txt,GH,2107,298,1364
GH_s1a-066_R1000.txt,GH,2035,252,1258
GH_s1a-067_R1000.txt,GH,1903,263,1161
GH_s1a-068_R1000.txt,GH,2012,326,1158
GH_s1a-069_R1000.txt,GH,652,123,404
GH_s1a-070_R1000.txt,GH,2063,304,1221
GH_s1a-071_R1000.txt,GH,594,56,359
GH_s1a-072_R1000.txt,GH,468,56,247
GH_s1a-073_R1000.txt,GH,2146,264,1257
GH_s1a-074_R1000.txt,GH,1995,261,1144
GH_s1a-075_R1000.txt,GH,1878,247,1060
GH_s1a-076_R1000.txt,GH,1692,173,1000
GH_s1a-077_R1000.txt,GH,2000,297,1295
GH_s1a-078_R1000.txt,GH,1952,248,1101
GH_s1a-079_R1000.txt,GH,1755,288,1051
GH_s1a-080_R1000.txt,GH,1996,279,1254
GH_s1a-081_R1000.txt,GH,1836,220,1029
GH_s1a-082_R1000.txt,GH,1797,262,1152
GH_s1a-083_R1000.txt,GH,1888,287,1178
GH_s1a-084_R1000.txt,GH,1924,266,1231
GH_s1a-085_R1000.txt,GH,1798,216,968
GH_s1a-086_R1000.txt,GH,1818,240,1088
GH_s1a-087_R1000.txt,GH,2010,344,1283
GH_s1a-088_R1000.txt,GH,2070,246,1271
GH_s1a-089_R1000.txt,GH,2045,279,1271
GH_s1a-090_R1000.txt,GH,1827,294,1113
GH_s1a-091_R1000.txt,GH,3690,635,2353
GH_s1a-092_first draft_R1000.txt,GH,6669,1283,4167
GH_s1a-093_R1000.txt,GH,1869,269,1120
GH_s1a-094_R1000.txt,GH,1868,226,1048
GH_s1a-095_R1000.txt,GH,1922,258,1122
GH_s1a-096_first draft_R1000.txt,GH,14037,2044,8568
GH_s1a-097_first draft_R1000.txt,GH,1998,347,1271
GH_s1a-098_R1000.txt,GH,1881,290,1171
GH_s1a-099_R1000.txt,GH,2011,327,1272
GH_s1a-100_R1000.txt,GH,1818,230,1151
HK_s1a-001_R1000.txt,HK,5792,676,3144
HK_s1a-002_R1000.txt,HK,3277,415,1781
HK_s1a-003_R1000.txt,HK,6962,845,3510
HK_s1a-004_R1000.txt,HK,5742,646,2782
HK_s1a-005_R1000.txt,HK,3500,328,1638
HK_s1a-006_R1000.txt,HK,3967,516,2237
HK_s1a-007_R1000.txt,HK,2272,265,1235
HK_s1a-008_R1000.txt,HK,5510,516,2681
HK_s1a-009_R1000.txt,HK,5188,556,2735
HK_s1a-010_R1000.txt,HK,5992,704,3105
HK_s1a-011_R1000.txt,HK,6838,738,3574
HK_s1a-012_R1000.txt,HK,3965,275,1920
HK_s1a-013_R1000.txt,HK,3227,306,1739
HK_s1a-014_R1000.txt,HK,5829,809,3287
HK_s1a-015_R1000.txt,HK,3261,432,1854
HK_s1a-016_R1000.txt,HK,3963,389,2079
HK_s1a-017_R1000.txt,HK,3611,431,1936
HK_s1a-018_R1000.txt,HK,4438,517,2318
HK_s1a-019_R1000.txt,HK,2925,512,1840
HK_s1a-020_R1000.txt,HK,3694,392,1763
HK_s1a-021_R1000.txt,HK,6449,615,3262
HK_s1a-022_R1000.txt,HK,4532,438,2408
HK_s1a-023_R1000.txt,HK,4274,469,2167
HK_s1a-024_R1000.txt,HK,3298,411,1776
HK_s1a-025_R1000.txt,HK,4780,562,2460
HK_s1a-026_R1000.txt,HK,3962,420,2043
HK_s1a-027_R1000.txt,HK,5978,576,3073
HK_s1a-028_R1000.txt,HK,3682,359,2027
HK_s1a-029_R1000.txt,HK,2735,277,1307
HK_s1a-030_R1000.txt,HK,7064,856,4017
HK_s1a-031_R1000.txt,HK,4640,643,2718
HK_s1a-032_R1000.txt,HK,4446,482,2331
HK_s1a-033_R1000.txt,HK,2509,363,1520
HK_s1a-034_R1000.txt,HK,2655,301,1407
HK_s1a-035_R1000.txt,HK,6443,683,3704
HK_s1a-036_R1000.txt,HK,3205,386,1725
HK_s1a-037_R1000.txt,HK,3645,310,1680
HK_s1a-038_R1000.txt,HK,3590,353,1817
HK_s1a-039_R1000.txt,HK,5222,675,3094
HK_s1a-040_R1000.txt,HK,3413,407,1971
HK_s1a-041_R1000.txt,HK,3772,438,2078
HK_s1a-042_R1000.txt,HK,7995,799,4042
HK_s1a-043_R1000.txt,HK,3443,335,1613
HK_s1a-044_R1000.txt,HK,3898,442,1892
HK_s1a-045_R1000.txt,HK,5616,510,2683
HK_s1a-046_R1000.txt,HK,3887,389,1835
HK_s1a-047_R1000.txt,HK,2942,485,1781
HK_s1a-048_R1000.txt,HK,3453,310,1781
HK_s1a-049_R1000.txt,HK,5810,784,3339
HK_s1a-050_R1000.txt,HK,2670,308,1298
HK_s1a-051_R1000.txt,HK,3121,299,1494
HK_s1a-052_R1000.txt,HK,4580,524,2575
HK_s1a-053_R1000.txt,HK,3930,483,2305
HK_s1a-054_R1000.txt,HK,4535,457,2483
HK_s1a-055_R1000.txt,HK,4021,474,2250
HK_s1a-056_R1000.txt,HK,4253,511,2123
HK_s1a-057_R1000.txt,HK,5035,627,2829
HK_s1a-058_R1000.txt,HK,5072,673,2834
HK_s1a-059_R1000.txt,HK,6256,761,3470
HK_s1a-060_R1000.txt,HK,3989,411,2161
HK_s1a-061_R1000.txt,HK,4993,511,2473
HK_s1a-062_R1000.txt,HK,4016,516,2261
HK_s1a-063_R1000.txt,HK,3317,317,1651
HK_s1a-064_R1000.txt,HK,4865,495,2633
HK_s1a-065_R1000.txt,HK,4422,441,2089
HK_s1a-066_R1000.txt,HK,3764,374,1877
HK_s1a-067_R1000.txt,HK,4227,388,2142
HK_s1a-068_R1000.txt,HK,3326,318,1419
HK_s1a-069_R1000.txt,HK,5590,628,2879
HK_s1a-070_R1000.txt,HK,4963,507,2752
HK_s1a-071_R1000.txt,HK,7259,839,3646
HK_s1a-072_R1000.txt,HK,3802,478,2087
HK_s1a-073_R1000.txt,HK,3381,326,1961
HK_s1a-074_R1000.txt,HK,3197,309,1820
HK_s1a-075_R1000.txt,HK,6189,750,3563
HK_s1a-076_R1000.txt,HK,2722,193,1434
HK_s1a-077_R1000.txt,HK,3540,372,1921
HK_s1a-078_R1000.txt,HK,3161,374,1788
HK_s1a-079_R1000.txt,HK,3508,379,1923
HK_s1a-080_R1000.txt,HK,4009,454,2115
HK_s1a-081_R1000.txt,HK,4260,422,2072
HK_s1a-082_R1000.txt,HK,2539,234,1232
HK_s1a-083_R1000.txt,HK,5687,647,3031
HK_s1a-084_R1000.txt,HK,4630,427,2363
HK_s1a-085_R1000.txt,HK,2802,234,1401
HK_s1a-086_R1000.txt,HK,2764,286,1425
HK_s1a-087_R1000.txt,HK,4925,750,2565
HK_s1a-088_R1000.txt,HK,3517,320,1741
HK_s1a-089_R1000.txt,HK,4161,519,2255
HK_s1a-090_R1000.txt,HK,5621,626,3048
HK_s1a-091_R1000.txt,HK,5699,610,3136
HK_s1a-092_R1000.txt,HK,4362,456,2189
HK_s1a-093_R1000.txt,HK,2568,275,1427
HK_s1a-094_R1000.txt,HK,2859,330,1451
HK_s1a-095_R1000.txt,HK,2735,352,1499
HK_s1a-096_R1000.txt,HK,3366,389,1769
HK_s1a-097_R1000.txt,HK,3306,429,1788
HK_s1a-098_R1000.txt,HK,2331,253,1269
HK_s1a-099_R1000.txt,HK,3045,302,1660
HK_s1a-100_R1000.txt,HK,2911,338,1588
HEB_001_clean_R1000.txt,Heb,3412,589,2181
HEB_002_clean_R1000.txt,Heb,706,121,465
HEB_003_clean_R1000.txt,Heb,702,108,433
HEB_004_clean_R1000.txt,Heb,301,56,202
HEB_005_clean_R1000.txt,Heb,552,98,371
HEB_006_clean_R1000.txt,Heb,8017,1332,5338
HEB_007_clean_R1000.txt,Heb,4412,708,2872
